inputName,n,arr[n]
values_249,14,"{44, 114, 3, 122, -125, -66, 47, 62, 63, -109, 11, -31, 55, -61"
values_808,2,"{33, 8"
values_859,11,"{14, 22, -91, 99, 78, 102, -25, 123, 99, -115, -93"
values_539,6,"{-116, 40, 59, 41, 125, -39"
values_635,16,"{-120, 63, 124, 49, 31, -51, -57, -55, 47, -10, 58, -2, 104, -54, 113, -116"
values_311,10,"{30, 123, 3, -97, -44, 117, 31, -56, 24, -103"
values_183,26,"{47, -50, 52, -60, 59, 102, 31, -60, -77, 79, -56, 99, 124, 103, -91, 2, 83, -97, 74, 15, 101, -31, -120, -41, -117, -8"
values_54,11,"{5, -23, -67, -125, 48, -15, 83, -6, 58, 64, -123"
values_390,2,"{15, 23"
values_890,18,"{69, 50, 92, 102, -27, 60, 86, 83, 58, -26, -49, -105, 17, -109, 77, 0, -39, -127"
values_711,10,"{106, -4, 100, -63, 54, -124, 100, -120, -24, -24"
values_471,15,"{-113, 74, -15, -86, -70, -24, -31, -21, -46, 105, -9, -33, 106, 46, -77"
values_995,11,"{-36, 106, -81, 87, 3, 121, -21, 68, -111, -104, -122"
values_443,24,"{4, -72, 40, -90, -126, -23, -49, 107, -83, 47, 65, 28, 1, 103, -31, -46, 10, -71, -47, -33, 14, 17, 124, 25"
values_464,5,"{-120, 114, -17, 53, 126"
values_774,4,"{-9, -30, -7, 15"
values_200,2,"{-11, -64"
values_747,16,"{-26, -64, -27, 4, 71, -8, 60, 71, -79, -111, 35, 19, -108, 101, -34, -10"
values_758,19,"{-123, 9, 39, 71, 58, 102, -38, -35, -126, 14, 36, 118, 80, 90, -28, 90, -47, 93, 29"
values_30,28,"{-87, -126, 99, 96, -44, -125, 120, -79, 89, -58, 49, -57, -83, 13, -14, -91, 26, -69, 70, -90, -29, -84, 120, 58, -60, 83, 50, 66"
values_820,10,"{42, 77, 26, -20, -115, -58, 61, -107, -60, -87"
values_393,4,"{-51, 10, 106, -107"
values_576,4,"{-61, 56, 62, 7"
values_445,15,"{-106, 74, 20, -20, -16, 80, -104, 59, 87, -90, -25, -110, 68, 60, -29"
values_662,12,"{28, -116, 105, 95, 47, -51, -101, -87, 126, 27, 124, 3"
values_403,25,"{-87, 70, -9, -19, 73, 0, -30, -50, 69, 126, -69, -106, -115, -103, 74, -82, 64, -27, 26, -17, -117, -45, 44, -32, 18"
values_640,21,"{-83, -35, -118, -19, 69, 116, -32, -48, 56, -37, -53, 98, -71, -93, -99, 106, 95, 97, 111, 119, 87"
values_59,19,"{54, -59, -39, -37, 31, -121, -64, -93, 123, -41, -53, 19, -79, 92, -19, -61, -74, -59, -21"
values_490,7,"{-83, -20, 66, -60, -83, 77, 20"
values_194,15,"{92, 111, 60, 41, -80, -14, -100, -42, -18, -1, -16, -70, -63, -92, -2"
values_751,19,"{49, 55, -91, -108, -119, 57, -119, 113, 3, -101, -103, -63, -4, -36, -36, 37, 26, -33, -39"
values_663,13,"{-19, -62, -74, -21, -99, -84, -109, 111, 42, 6, 87, 86, -39"
values_938,17,"{-85, -24, -125, -126, -108, -77, -57, -11, -41, -52, -49, -61, -45, -27, 58, 127, 10"
values_532,14,"{106, 120, -80, 97, -46, -58, 26, 91, -116, -56, -54, 61, 49, 27"
values_885,26,"{117, -56, 33, -18, 84, -58, -114, -21, 30, 71, -34, -116, 121, -3, 93, -126, 77, -64, 8, -77, -18, -92, -7, 66, -91, -16"
values_713,28,"{26, -50, -3, -40, -21, -112, 54, 8, -123, -106, 3, -101, -29, -9, 4, -76, -25, 102, -92, 39, -109, -90, 70, -19, 83, 95, 121, 60"
values_193,3,"{-81, -122, -62"
values_650,13,"{-23, 66, -125, 90, -70, -25, 4, -27, 57, 8, 110, -1, -15"
values_564,12,"{-124, -45, 23, -57, -90, -107, -13, 91, 69, -91, -46, -69"
values_267,23,"{13, 95, 66, 104, -54, 126, 2, 72, -52, 107, -80, -60, -21, 26, -87, 20, -62, 114, -7, -40, -38, 87, -112"
values_147,6,"{120, 75, 11, -108, 55, 90"
values_709,8,"{-90, 98, -116, -91, -127, -73, -82, 38"
values_857,26,"{-12, 92, 5, 116, 16, 18, 41, -109, -89, 72, 115, -34, 9, 66, -121, 89, 70, 10, -105, -23, -66, -122, -62, -80, 14, 49"
values_334,24,"{51, -2, 14, -8, 4, -35, -66, 63, 34, -39, -81, -69, 82, 102, -94, -109, -91, 34, 99, -26, 6, 93, 22, -110"
values_965,4,"{-99, 10, -114, 17"
values_824,4,"{-71, 108, -55, 111"
values_784,24,"{-37, -1, -12, 66, -87, -67, -74, -111, 120, -58, -53, 74, -89, -6, -96, 122, 119, -77, 51, -80, 81, -121, -33, -120"
values_229,22,"{86, 72, -55, 82, 127, 41, 14, -85, -124, -92, -12, -19, 32, -61, 123, 105, 21, 25, 31, -63, -126, -106"
values_538,26,"{-91, 3, -74, -71, -34, -35, 9, 14, 12, -47, -37, 30, 83, 114, 23, 29, -49, -107, -45, -56, 29, 51, 82, 24, 87, 60"
values_463,16,"{6, 45, 80, -94, -3, -16, 105, 101, 92, -1, 48, 82, 22, 24, -88, -2"
values_741,7,"{112, -47, 18, -81, -36, 77, 46"
values_85,11,"{48, -120, 36, 55, 83, -25, 40, 82, 54, 26, 12"
values_493,16,"{39, 117, -22, -17, -60, 99, 3, -120, 61, -39, -21, -86, -81, 51, 97, -11"
values_794,6,"{-107, 13, 54, -34, 80, 21"
values_202,17,"{-119, -86, 82, 81, 15, -23, 91, -91, 121, -114, -2, 19, 71, -68, 53, 11, -49"
values_74,13,"{94, -8, 91, -55, 11, -44, 93, 123, -61, -21, 56, 82, -88"
values_410,11,"{-50, 116, -101, 55, 84, -100, 118, 9, 41, -124, 71"
values_469,20,"{17, 106, -26, 10, -100, -1, 105, 79, -104, -40, 20, -67, 66, -39, -28, 46, 70, -62, -42, 91"
values_394,19,"{-59, -55, -63, -69, -42, 125, 110, -28, 35, 19, -91, -96, -93, 40, 120, 26, -75, -32, -43"
values_149,7,"{101, 47, 49, 93, 8, -84, -56"
values_945,6,"{0, 30, 119, -98, -87, -68"
values_293,11,"{100, -31, -45, 28, -69, -110, 55, 73, -28, -122, -71"
values_456,4,"{33, -124, 38, 109"
values_975,18,"{57, 111, -87, 8, 31, -105, 124, 94, -81, -5, 91, -124, -72, 45, -16, 63, 87, -56"
values_547,6,"{-75, -2, -118, 67, -38, 26"
values_164,6,"{-103, 89, -83, 126, -84, 69"
values_720,5,"{28, -29, -46, -33, -4"
values_833,22,"{-23, 46, -92, 7, 65, 100, -72, 73, -10, 103, -13, -58, 18, -97, -126, 16, -14, 1, 99, 14, -100, -40"
values_90,4,"{82, 5, 18, 66"
values_954,19,"{32, 63, -6, 93, 112, 66, 28, 46, 94, -12, 52, -86, 102, 19, -39, 59, 57, 74, 36"
values_483,3,"{-106, -9, 72"
values_990,23,"{11, -113, -121, -3, -90, 104, 88, -23, 13, 15, -22, 60, -29, -98, -53, -62, 42, 109, -31, 42, 88, -5, 56"
values_113,28,"{108, 7, -127, -117, -35, 95, -72, 112, 15, 49, -18, 0, -50, 14, -84, -2, 13, -20, -74, 82, 122, 77, -106, 103, -46, -73, 93, -54"
values_878,16,"{37, -39, 10, 8, -69, -70, 95, -125, -54, -123, 63, 97, -15, 47, -30, -45"
values_942,8,"{-43, 110, 78, 11, -86, 39, 73, 37"
values_126,23,"{95, 77, 36, -43, 115, 41, 75, -105, 39, 82, -77, 115, -70, 118, 78, 15, 111, 62, 2, 36, 80, -28, 57"
values_666,10,"{-10, 100, -115, -80, 6, 67, -16, -8, -89, -102"
values_960,11,"{36, -93, -106, 59, 7, 90, -127, -122, -104, 66, 116"
values_783,20,"{-25, -42, -113, 54, -125, 5, 13, 113, -12, 82, -125, 119, 11, 81, -12, 24, -113, 77, 6, 79"
values_735,17,"{93, -73, -13, 88, -18, 31, 24, 111, 84, 38, -97, 67, 105, -98, -45, -108, -40"
values_439,22,"{43, -87, -45, 55, -69, 12, -117, 1, -93, 35, -15, -82, 90, 114, 60, 112, 43, 75, 114, -66, -48, 64"
values_860,26,"{-45, -96, 123, -117, 87, 15, -16, 12, 73, -65, -52, -60, 26, 16, 115, 32, -30, 126, 50, -19, 61, 41, -117, -114, 71, 40"
values_18,14,"{45, 102, 53, -53, 51, 75, -37, 69, -51, -10, 38, -89, -108, -102"
values_173,15,"{-12, 98, -114, 110, 109, 53, 17, -82, 12, -77, 122, 82, -21, -77, -107"
values_454,17,"{-7, -54, 0, 46, 69, 110, 43, -108, -92, 9, 100, -7, -111, 21, 22, -57, -15"
values_176,13,"{-68, -78, -45, -21, 20, 2, 110, 12, -83, 76, 35, -58, -75"
values_698,22,"{45, -46, 94, -25, 46, -42, 120, -63, -80, -103, -102, 10, -19, 58, 59, -95, -3, -18, -70, -5, 116, -49"
values_869,13,"{122, 18, 55, 80, 14, -53, -126, -43, -113, 108, -8, 57, -111"
values_697,17,"{43, -118, -36, 21, 77, -72, -7, 100, -30, 41, -8, -107, -90, -88, 20, -61, -3"
values_509,7,"{111, -126, -100, -6, -11, -73, -124"
values_189,15,"{-24, 20, -94, -89, 104, -2, 83, -30, 6, 6, 123, 56, 19, 25, -35"
values_714,10,"{15, -48, 58, -116, 25, 24, 91, -69, -63, -15"
values_270,19,"{-70, -68, 75, -69, -28, -67, -106, -57, -47, -52, -96, -50, 38, 122, -44, -36, 100, 40, 120"
values_863,4,"{0, -1, 111, 29"
values_548,19,"{-121, 94, 54, -56, -113, 52, -42, -92, 63, -43, 23, -112, 125, 72, 34, -127, 52, 97, 16"
values_359,27,"{11, -58, -45, -5, -86, 32, 86, -110, -117, -123, -52, -123, -57, -7, 36, 21, -126, -122, 36, 123, 17, 23, -87, -127, -93, -48, -16"
values_512,8,"{-92, 112, -27, 117, 56, -61, -18, 87"
values_656,26,"{-45, -44, -48, 110, -112, 67, 73, 121, -112, 23, 69, -15, -96, 18, -66, 101, -94, 76, 114, 66, 81, -78, -55, 96, 84, 106"
values_684,2,"{92, 40"
values_171,19,"{-37, 79, -93, 47, -2, 91, 29, 73, -15, -30, -89, -122, -56, 77, 62, 114, -69, 49, -30"
values_675,20,"{108, 69, 6, 105, -11, 17, 101, -92, 15, 57, -7, 2, -82, 120, 20, 92, 90, 84, -31, 2"
values_657,24,"{84, -16, -115, -99, -3, 117, 14, -115, -116, -84, -116, 107, -44, -51, -108, 5, -115, 103, -83, -29, 15, 94, 8, 68"
values_333,14,"{88, -75, -120, 53, -112, -69, -77, 80, -10, -40, 37, 7, -9, 105"
values_599,22,"{84, -69, 66, -10, 66, 84, -112, 104, -88, -67, -124, 120, 40, 15, 57, 125, -58, -42, 98, -15, 107, -7"
values_129,6,"{-101, 46, 92, -69, -126, 13"
values_886,19,"{42, -102, 1, 56, 124, -34, 16, -94, -43, 14, -53, 120, 9, -90, 15, 17, -105, -2, 32"
values_107,10,"{34, 107, 74, -75, 95, 65, 15, -104, 55, -36"
values_272,6,"{83, 93, -93, -126, -126, 43"
values_52,18,"{-14, -20, 26, 126, 106, -55, -81, 27, 104, -32, -41, 97, 62, 125, -5, -101, -113, 8"
values_819,25,"{-14, -72, -34, 53, 15, 123, -64, 43, -79, -12, -91, 95, 110, -127, -17, 117, -60, -45, -76, -109, -52, -27, 113, -95, 83"
values_682,25,"{61, 109, 84, 76, 60, -78, 67, 40, 33, -23, -22, -18, 60, -14, -65, 85, 36, 58, 77, -4, 103, 15, 88, 70, 31"
values_44,3,"{-77, -110, -7"
values_914,11,"{-26, 119, -100, -44, -5, -123, 93, -110, -111, 80, -116"
values_346,6,"{70, 68, 37, 18, 28, -95"
values_151,8,"{42, -59, 36, -104, 1, 44, 85, 3"
values_550,8,"{-22, -124, 86, -46, -84, 30, 35, 119"
values_326,16,"{-79, -78, -33, 78, 16, 112, 125, -126, 125, 24, -74, 102, 52, -30, -58, 88"
values_836,18,"{22, 43, -50, 35, -106, -55, 1, 69, 0, 87, 53, -97, 0, -29, 54, 95, 31, -112"
values_437,26,"{-59, 11, -107, 67, 72, -57, 64, -84, -95, -16, 89, 76, -126, 64, -5, -99, -25, -78, -53, 37, -50, 100, 25, 126, 27, -29"
values_984,19,"{96, -35, -60, 96, 71, -7, 89, -73, -106, 102, 51, 18, -19, 25, -75, 74, -117, 12, 28"
values_17,20,"{5, 83, -20, -52, 34, -27, 24, -102, -123, -43, -48, -1, 118, -77, 99, -15, 34, -114, -18, 77"
values_748,24,"{82, -21, -41, 113, 2, 47, 67, -15, -39, -124, 32, 124, -127, -70, -119, 127, 30, 3, 115, 112, -3, 27, -31, -84"
values_581,19,"{-64, -78, -88, 99, -11, -127, -2, -16, -30, 17, 107, 23, -43, -14, 124, 95, -84, 21, -75"
values_705,14,"{-64, -88, -2, -30, 61, 2, -26, -13, -20, -20, 55, -110, -92, 24"
values_121,3,"{-35, 83, 119"
values_219,11,"{5, -57, -88, -30, 113, 78, -31, -114, -109, -30, -105"
values_321,18,"{-121, 12, -114, -89, 17, -51, -58, -56, -117, 125, 77, 54, 61, -117, 34, 63, 112, 43"
values_843,17,"{38, 20, -100, 77, -3, 39, 58, -121, -69, 79, -104, -116, 2, 109, -67, 122, 27"
values_606,18,"{-81, 64, -117, 36, -73, -31, 47, -68, -38, -63, -30, -111, 116, -73, -118, -91, -77, 60"
values_898,26,"{36, 117, -37, 86, 30, 106, -122, 21, 49, -8, -79, -122, -58, 106, -96, 102, 85, -42, 44, 119, 96, 77, -122, -33, -95, 113"
values_601,3,"{110, 12, 65"
values_36,14,"{-25, 28, 23, -63, 30, -65, -85, -41, -8, 75, 10, -3, 124, 92"
values_282,6,"{-104, 125, -109, -87, 32, 5"
values_395,17,"{35, -21, 19, 97, -40, -26, 80, 48, -97, -74, -123, -38, -107, -16, 84, 111, 95"
values_449,23,"{-86, 80, -106, 74, -16, 69, 29, -99, 72, -29, -36, -102, 59, -103, -7, 12, 96, -98, 56, 97, 56, -46, 102"
values_209,2,"{-89, -106"
values_956,25,"{13, 60, -116, 12, -13, -46, 118, -125, -72, 122, -68, 126, 18, 44, -28, -96, 94, -80, 71, 83, -111, -83, -31, -88, -18"
values_579,5,"{-127, 7, -48, -30, 12"
values_484,22,"{-111, 40, 86, -40, 94, -1, -41, 118, -2, -30, -94, -108, -91, -4, -26, -44, 55, 58, 32, 121, 117, 32"
values_521,23,"{34, -14, -96, 113, -97, -16, 18, 26, 19, -103, -27, 49, 119, 78, -84, -31, 11, 14, -72, -5, -5, -18, -117"
values_617,17,"{-80, -102, 18, -25, 68, 13, -45, 96, -83, 17, 125, 71, -32, 119, -75, -38, -50"
values_516,24,"{95, -12, -51, -29, -64, 96, -51, 8, -26, -35, 53, 68, 66, 44, -73, 117, -44, -13, 52, -72, 37, -24, -123, 54"
values_358,28,"{117, 17, -95, -108, 32, -39, -40, 25, -34, 4, 106, 40, 116, 85, -72, -26, -47, -90, -36, -104, 11, -118, 98, 41, 40, -51, -32, 113"
values_335,18,"{-98, 62, 84, -73, 77, -24, -14, -56, 58, -35, -16, -42, -63, 5, -55, 104, -20, 107"
values_139,20,"{81, 60, 99, -47, 0, -122, -44, 57, 44, 86, 103, -11, -78, -111, -111, 16, 33, 17, -89, -104"
values_992,2,"{113, -120"
values_211,9,"{-24, 41, 89, -114, -29, 95, -9, 51, -122"
values_507,19,"{-97, 101, -52, -14, -50, -126, 33, -23, -100, 70, 58, -104, 60, 42, 3, -91, -44, 117, 9"
values_921,19,"{97, -124, 101, -5, -19, 118, 115, 73, 122, 28, 123, -91, 14, -84, 54, -2, 103, 49, 20"
values_138,28,"{-72, 106, -36, -40, 111, -112, -120, 7, -100, -41, -91, -29, 31, 53, 101, 32, 96, -125, -74, 52, 81, -125, -69, 114, -28, -26, 62, 41"
values_275,17,"{72, -58, -49, 75, 24, 114, 4, -69, -13, 106, -3, 96, 41, 9, -89, -102, 72"
values_614,16,"{93, 16, 48, 18, 5, -95, -4, 67, -51, -43, -103, 60, 30, -69, 31, -107"
values_49,12,"{100, 3, -78, 123, -101, 5, 74, 92, -46, 37, 86, -55"
values_227,5,"{-122, -78, -11, 11, -28"
values_203,2,"{-74, 42"
values_172,8,"{25, 86, -81, 26, 82, 51, 126, 36"
values_86,27,"{-16, -13, 14, 114, 64, -45, -80, 89, -127, -78, 118, 81, -89, -104, -5, -62, 51, 39, 75, -55, 26, 24, -11, -62, 105, -42, -32"
values_178,16,"{9, 41, 126, -70, -13, -117, 49, 18, 28, -54, 119, -28, -45, 13, 15, -9"
values_978,5,"{26, -126, -94, 4, -51"
values_253,3,"{21, -70, 113"
values_291,17,"{11, 27, -126, -62, -97, 1, 90, -92, -107, -120, 75, 92, 100, -127, -68, -39, 116"
values_911,6,"{-75, 36, 64, 112, -86, -110"
values_230,13,"{45, 49, -24, 36, -92, 57, -59, -35, -101, 40, -69, -114, 119"
values_318,22,"{16, -1, -75, 101, -26, 120, 14, 82, -68, 103, -119, -75, 119, -81, -113, -72, -99, 35, 4, 111, -90, 12"
values_798,8,"{120, -117, 43, 69, 122, 23, -53, -77"
values_638,18,"{13, 59, 126, 106, 86, -12, 101, -9, 68, 45, 118, 36, 48, -92, 41, -126, 59, 105"
values_112,23,"{-125, -86, 65, 33, 22, 54, 71, -82, -113, -99, 110, 117, 29, 97, -64, 93, 81, 70, -107, 113, 15, -81, 93"
values_201,3,"{-57, -45, 47"
values_629,23,"{115, -39, 101, -20, 7, 26, 4, 85, 53, -83, -41, 113, 54, 9, 6, -51, -77, 44, 85, 12, -47, -77, -27"
values_337,13,"{-44, 83, 40, 17, -74, -104, -23, -79, -39, -69, 15, 29, 35"
values_37,16,"{-25, 94, -1, 3, 27, 92, 51, -15, 56, 90, -45, 22, 22, 21, -99, -93"
values_56,9,"{44, -127, 122, -85, -59, 46, -92, 49, 24"
values_316,28,"{98, 100, -41, 2, 104, 88, -31, 114, -80, 26, 78, -100, 44, -74, 85, 43, 62, 32, -71, -87, 17, -37, 91, -96, 72, 76, 124, 14"
values_829,4,"{125, 0, -22, 109"
values_63,24,"{121, 120, 59, 100, 49, 45, 90, 119, 67, -68, -87, -103, -16, 99, 64, 96, 41, 108, 114, -122, -104, 115, -106, -91"
values_35,2,"{43, -7"
values_519,26,"{113, 34, -127, -74, 87, -25, -18, 40, 110, -75, -127, 39, -15, -125, 106, -44, -49, -63, -76, -69, -12, 11, -9, -21, -26, -116"
values_481,10,"{-46, -90, -51, -31, 43, -69, -25, 113, -104, -77"
values_278,6,"{-36, -51, 87, 74, 112, 65"
values_186,26,"{-9, -77, -20, 84, -104, -116, 34, -96, -126, -75, 125, 95, -62, 5, -114, 63, -10, 40, 88, -40, -39, -124, 15, -80, -80, 57"
values_702,21,"{0, 95, 34, 70, 119, -11, 96, 124, 28, 111, 46, -56, 7, -117, 61, -77, -44, 19, 123, 21, -87"
values_722,27,"{-34, 99, 7, 32, 104, -26, -53, -15, -37, -82, -112, -24, -57, -103, -116, 39, 1, -11, 7, -93, -70, -100, 122, -57, 107, 25, 33"
values_97,3,"{43, -70, -4"
values_329,7,"{-93, 24, 55, -18, -23, 7, -72"
values_75,3,"{-73, 11, 52"
values_560,22,"{-105, -75, 117, 118, 105, 87, -61, 126, -109, 77, -39, -88, -18, 118, 121, 2, -123, 125, -40, 118, -42, -62"
values_612,8,"{-124, 118, -62, -48, 16, -51, -39, 68"
values_421,16,"{-28, -68, 69, -89, -83, 115, 88, 65, 36, -56, 106, 78, -83, -85, -88, -13"
values_639,21,"{-112, 77, -14, 17, 39, 62, -51, 94, -83, 5, -1, -46, 100, 71, -36, -74, -34, 54, 85, 50, -39"
values_939,3,"{19, 54, -117"
values_198,28,"{67, 127, 109, 82, -72, -89, 73, -31, 126, -29, 7, -60, 105, 27, -34, 104, -76, -25, -2, 62, -54, -77, 70, 127, 81, 94, 3, 79"
values_840,7,"{94, 65, -86, 124, 84, -110, -1"
values_415,15,"{30, 65, 57, -66, 60, -54, -6, 4, -124, -71, 33, 41, 118, 52, 67"
values_405,13,"{87, 26, -38, -112, -61, -24, 31, -77, -123, -44, 88, 31, 19"
values_100,10,"{123, -2, 48, 8, -9, 29, -92, -91, -97, -110"
values_726,25,"{-51, 73, -75, -90, -43, -9, 16, -9, 127, -5, -88, 92, -16, -55, 15, 123, -51, -41, 81, -1, 98, 73, 79, 104, 23"
values_265,20,"{96, 25, -122, 116, 44, 121, 123, 108, -88, 91, 6, 65, 102, 23, 29, -32, 81, 59, -28, 8"
values_743,19,"{38, 89, -9, -67, -31, -46, 94, -122, 15, -88, 94, 55, -69, 56, 47, -70, 91, -87, -52"
values_436,3,"{-69, 104, -10"
values_583,3,"{53, -48, -45"
values_525,7,"{123, -82, -73, -16, -62, -114, 51"
values_677,21,"{-61, 10, -45, 94, -93, -21, 4, -127, -44, -73, -94, 84, -19, -31, 53, 28, 120, -60, 13, -62, -118"
values_289,2,"{96, 114"
values_255,26,"{76, 69, 3, -6, -51, -121, -115, 89, 63, -14, -42, 76, -97, 21, -94, -117, -13, 79, 44, -108, -8, -67, 35, -114, 30, 126"
values_529,4,"{-123, -26, -22, 14"
values_826,17,"{111, 32, 101, -87, -126, -32, 122, -30, 66, -10, -127, 53, -38, 55, 109, -70, -72"
values_362,10,"{74, -56, 71, 57, -33, 95, -50, 8, 115, 79"
values_355,2,"{-29, 25"
values_506,2,"{-59, 116"
values_315,6,"{0, -41, -40, -103, 125, -114"
values_604,15,"{-105, 44, -16, 70, 49, 26, 117, -62, -7, 89, -93, -74, 108, -115, 121"
values_57,10,"{-29, 125, -90, -32, -72, 97, 89, 25, -93, 120"
values_133,14,"{70, -12, -7, -18, -104, -21, -126, 23, 35, 78, 36, 75, 38, 60"
values_787,10,"{-99, -111, -26, -115, -91, -33, -51, 114, -116, 58"
values_799,21,"{90, 63, 49, -122, -122, 90, -53, 43, -44, -93, -108, -58, 60, 70, 80, -74, 105, 57, -55, 87, -67"
values_765,3,"{1, -52, -11"
values_887,23,"{33, 92, 58, 127, -95, 50, -16, 57, -1, -117, -6, 103, 36, -85, 117, 101, -39, -97, -62, -122, -126, 48, -104"
values_952,5,"{7, -16, 104, 91, 78"
values_631,2,"{40, -121"
values_306,7,"{29, -54, -24, -64, -117, 14, 1"
values_497,22,"{80, 18, -38, 72, -21, -49, -53, 101, 88, 41, 108, 127, -110, 106, -121, 94, -106, 74, -42, 2, 100, -39"
values_821,16,"{-17, 91, -86, -76, -103, 121, -106, -31, -87, -124, -92, 79, 8, -25, -77, 85"
values_618,12,"{11, 90, 39, -69, -4, 68, -22, 69, -99, -69, 55, -66"
values_271,17,"{76, -69, 95, -66, -16, 43, -36, -38, 103, -73, -27, -57, 11, 14, -2, -20, -112"
values_645,11,"{-108, -106, 15, 127, 31, 3, -101, -86, -75, 22, 36"
values_985,19,"{-102, 93, -91, -25, 14, 80, -13, 93, 98, -77, 96, 100, -62, 85, -39, -10, -125, 5, -55"
values_400,11,"{79, 56, 49, -79, 124, 39, -34, 94, -16, -57, -76"
values_562,23,"{-54, 14, -40, -88, 125, -62, -105, -86, -55, -72, -24, -33, -19, 47, -26, -48, -25, -17, 84, 102, 41, 88, -43"
values_590,17,"{79, 61, 113, 105, -72, 9, 16, -40, -7, 99, -38, -90, 96, 126, 15, 45, -22"
values_648,2,"{-117, 101"
values_325,26,"{48, 18, -47, 68, 113, -7, 56, -10, 92, -33, 123, 22, -126, 106, -119, -117, -10, -113, 47, 15, -103, 81, -61, 54, 115, 97"
values_883,19,"{80, 95, -41, -85, -62, -57, -46, 54, -42, 85, 102, 112, 103, -61, -67, -94, -42, 117, 17"
values_827,13,"{38, -111, -54, -84, -94, 0, -31, 112, -119, 77, 115, 9, 103"
values_854,12,"{113, 49, 35, 97, -121, 119, -126, 83, 60, 30, -125, 0"
values_307,19,"{80, 91, 82, 8, 93, -20, 17, -15, -124, 37, 36, 51, 96, -7, 14, -34, 81, -39, -4"
values_88,18,"{-17, 20, 9, -35, 26, -103, 63, -42, 3, 41, -25, 62, 62, -52, 28, 98, -58, -50"
values_958,24,"{21, -103, -86, 110, -98, 56, -21, 38, 31, 80, -60, -4, -14, 16, -77, 0, -95, -122, 1, 39, -70, -77, -14, 37"
values_251,26,"{87, -44, -55, 27, -56, -56, -47, 58, 60, 92, -57, -103, -12, 80, 83, -44, -99, -67, -119, -101, -43, 111, 7, -42, 40, 72"
values_902,3,"{-39, 13, 28"
values_680,16,"{-77, -42, -36, 126, 103, 79, -20, 25, 88, 119, -90, -10, -60, -39, -117, 102"
values_884,8,"{-24, 43, -108, 71, 121, 82, -83, -117"
values_901,4,"{15, -98, -72, -57"
values_354,19,"{-67, 74, 14, 19, -62, 57, -101, -19, 108, -12, 21, -84, -101, -59, 62, -127, -40, 85, -123"
values_420,28,"{-89, -99, 108, 26, -50, 66, 78, 123, 6, -43, -35, 124, 93, -46, 15, 99, -50, -90, 87, -53, -27, 81, -84, -69, -120, -109, 54, 69"
values_103,28,"{115, 1, 21, 123, 61, -52, -10, -17, -114, 13, 70, 122, 41, -28, 96, -39, -92, 127, 125, -40, 53, -2, 17, -23, 92, 24, 10, 0"
values_10,13,"{-68, 120, 115, -97, -45, -114, 0, 32, -82, -105, -26, 0, 41"
values_474,18,"{109, 101, 4, -112, -58, 38, -102, -30, 92, 101, 64, -116, -55, -9, -90, -115, 40, 98"
values_53,15,"{121, -80, 15, 85, 16, -82, 19, -40, -14, 88, 70, 15, 53, 13, 76"
values_8,13,"{-87, 88, -94, -79, 103, -82, 68, 88, -109, 28, 58, -123, -104"
values_39,22,"{57, 48, 30, -4, -56, -16, -125, -89, 115, 92, 54, 98, -99, -35, -30, 37, 86, 66, 47, 124, 56, 120"
values_755,5,"{-75, -100, -13, 80, 11"
values_124,9,"{-19, 118, 47, 61, -69, -15, 56, 67, 30"
values_841,6,"{-26, -84, -20, 89, -69, -77"
values_510,26,"{106, -80, 51, 48, 32, -104, -126, -92, -59, -97, -1, 16, 107, 117, -79, 54, 20, 74, 71, 36, -123, 49, -8, 11, 9, 34"
values_989,13,"{6, 123, -67, 28, -1, -9, -30, -113, 39, -57, -3, -87, 96"
values_706,10,"{-8, 125, -1, -42, -8, -83, -12, 55, 5, -123"
values_257,8,"{-49, -91, -2, 93, 16, 35, 15, 41"
values_811,10,"{-26, 34, -2, -66, -58, -126, 70, 23, 68, 24"
values_111,19,"{121, -15, 57, 3, -3, -16, -124, -15, -69, 57, -116, 21, 71, 66, -4, -6, 99, -17, -27"
values_47,20,"{48, 69, 44, -91, 40, -92, -79, 65, 51, 11, -74, 84, -123, -16, -9, 79, 44, 56, -43, 88"
values_928,6,"{-91, 92, -124, 27, -12, -1"
values_561,2,"{-56, -7"
values_383,26,"{-44, -9, 6, 13, -77, -127, -125, 49, 103, 79, -117, -46, 67, 126, -125, 110, -55, 100, 51, 39, -111, -103, 6, -106, 93, 23"
values_498,25,"{-48, -78, 97, -30, 109, -44, -24, 62, 37, -111, -81, 49, -70, -42, -45, -76, -94, 100, 66, -38, 16, -44, -13, -127, -76"
values_60,5,"{70, 57, -61, 87, -117"
values_737,16,"{29, 13, 127, 115, -9, -68, 125, 25, 83, 125, 14, 93, 118, 111, -39, -14"
values_624,11,"{-70, 77, -28, -13, -27, -29, -77, 47, -50, 39, 73"
values_973,28,"{-79, 40, 76, 94, 101, -42, -103, 17, -10, -116, -114, 109, 73, 87, -116, 13, -34, 32, 71, -121, -98, -70, -64, -50, 118, -93, 73, 45"
values_472,19,"{77, -10, -5, 103, 31, 0, -4, -20, -57, -29, -124, -99, 26, 126, 45, -62, 115, 126, 45"
values_280,15,"{126, -60, 13, 110, -48, -93, 108, -6, 30, 119, 95, 82, 52, -79, 27"
values_389,4,"{75, -65, 77, 93"
values_651,7,"{-127, -98, -43, -73, 40, 85, 57"
values_642,9,"{9, -75, -80, 14, -21, 116, -31, 117, -84"
